This file contains the  votes from the 
WD Smith, JN Quintal, D Greene 
Range- and Approval-voting presidential
pseudo-elections of 2 Nov 2004.

We now explain the data format.

RANGE VOTING (Smith 68 from Port Jefferson Station & East Setauket NY 
         and Greene 54 from Cedarhurst NY):

Each line represents a single vote and is of the 8-entry form
(7 numerical entries and one character-entry):

Bu Ke Na Ba Co Pe Ca YNX

where 
Bu=vote for Bush     (0-100;  and  -1 represents "left it blank")
Ke=vote for Kerry    (0-100;  and  -1 represents "left it blank")
Na=vote for Nader    (0-100;  and  -1 represents "left it blank")
Co=vote for Cobb     (0-100;  and  -1 represents "left it blank")
Pe=vote for Peroutka (0-100;  and  -1 represents "left it blank")
Ca=vote for Calero   (0-100;  and  -1 represents "left it blank")
YNX=one of the three characters {Y,N,X} to indicate that range voting is
respectively  better, worse, or don't know than the present plurality system.

APPROVAL VOTING  (Quintal 656 from Philadelphia PA suburbs mostly in Delaware County):
Same format as range, except for the following changes:
100 0 0 0 0 0 374 N
0 100 0 0 0 0 375 N
0 100 0 0 0 0 376 N
100 0 0 0 0 0 377 N
100 0 0 0 0 0 378 N
0 100 0 0 0 0 379 N
0 100 0 0 0 0 380 N
100 0 0 0 0 0 381 N
100 0 0 0 0 0 382 N
100 0 0 0 0 0 383 N
0 100 0 0 0 0 384 N
0 100 0 0 0 0 385 N
0 100 0 0 0 0 386 N
100 0 0 0 0 0 387 N
100 0 0 0 0 0 388 N
100 0 0 0 0 0 389 N
100 0 0 0 0 0 390 N
100 0 0 0 0 0 391 N
100 0 0 0 0 0 392 N
0 100 0 0 0 0 393 N
0 100 0 0 0 0 394 N
0 100 0 0 0 0 395 N
0 100 0 0 0 0 396 N
0 100 0 0 0 0 397 N
0 100 0 0 0 0 398 N
0 100 0 0 0 0 399 N
0 100 0 0 0 0 400 X
0 100 0 0 0 0 401 N
0 100 0 0 0 0 402 N
100 0 0 0 0 0 403 N
100 0 0 0 0 0 404 N
0 100 0 0 0 0 405 N
0 100 0 0 0 0 406 N
0 100 0 0 0 0 407 N
100 0 0 0 0 0 408 N
100 0 0 0 0 0 409 N
100 0 0 0 0 0 410 N
100 0 0 0 0 0 411 N
-1 -1 0 -1 -1 -1 412 Y
0 100 0 0 0 0 413 X
0 100 0 0 0 0 414 N
0 100 0 0 0 0 415 N
100 0 0 0 0 0 416 N
0 100 0 0 0 0 417 N
100 0 0 0 0 0 418 N
100 0 0 0 0 0 419 N
100 0 0 0 0 0 420 N
100 0 0 0 0 0 421 N
100 0 0 0 0 0 422 N
100 0 0 0 0 0 423 N
100 0 0 0 0 0 424 N
0 100 0 0 0 0 425 N
100 0 0 0 0 0 426 N
100 0 0 0 0 0 427 N
0 100 0 0 0 0 428 N
0 100 0 0 0 0 429 N
0 100 0 0 0 0 430 N
0 100 0 0 0 0 431 N
0 100 0 0 0 0 432 N
0 100 0 0 0 0 433 N
100 0 0 0 0 0 434 N
100 0 0 0 0 0 435 N
100 0 0 0 0 0 436 N
100 0 0 0 0 0 437 N
100 0 0 0 0 0 438 N
100 0 0 0 0 0 439 N
100 0 0 0 0 0 440 N
100 0 0 0 0 0 441 N
100 0 0 0 0 0 442 N
0 100 0 0 0 0 443 N
0 100 0 0 0 0 444 N
0 100 0 0 0 0 445 N
0 100 0 0 0 0 446 N
100 0 0 0 0 0 447 N
100 0 0 0 0 0 448 N
100 0 0 0 0 0 449 N
0 100 0 0 0 0 450 N
0 100 0 0 0 0 451 N
0 100 0 0 0 0 452 N
0 100 0 0 0 0 453 N
100 0 0 0 0 0 454 N
100 0 0 0 0 0 455 N
100 0 0 0 0 0 456 N
100 0 0 0 0 0 457 N
100 0 0 0 0 0 458 N
100 0 0 0 0 0 459 N
100 0 0 0 0 0 460 N
100 0 0 0 0 0 461 N
100 0 0 0 0 0 462 N
100 0 0 0 0 0 463 N
100 0 0 0 0 0 464 N
0 100 0 0 0 0 465 N
100 0 0 0 0 0 466 N
100 0 0 0 0 0 467 N
100 0 0 0 0 0 468 N
-1 -1 0 -1 -1 -1 469 N
100 0 0 0 0 0 470 N
0 100 0 0 0 0 471 N
0 0 0 0 100 0 472 N
100 0 0 0 0 0 473 N
100 0 0 0 0 0 474 N
100 0 0 0 0 0 475 N
0 100 0 0 0 0 476 N
0 100 0 0 0 0 477 N
0 100 0 0 0 0 478 N
100 0 0 0 0 0 479 N
100 0 0 0 0 0 480 N
100 0 0 0 0 0 481 N
-1 -1 0 -1 -1 -1 482 N
0 100 0 0 0 0 483 N
0 100 0 0 0 0 484 N
100 0 0 0 0 0 485 N
0 100 0 0 0 0 486 N
100 0 0 0 0 0 487 N
100 0 0 0 0 0 488 N
100 0 0 0 0 0 489 N
0 100 0 0 0 0 490 N
0 100 0 0 0 0 491 N
0 100 0 0 0 0 492 N
0 100 0 0 0 0 493 N
0 100 0 0 0 0 494 N
0 100 0 0 0 0 495 N
100 0 0 0 0 0 496 N
100 0 0 0 0 0 497 N
100 0 0 0 0 0 498 N
100 0 0 0 0 0 499 N
100 0 0 0 0 0 500 N
100 0 0 0 0 0 501 N
100 0 0 0 0 0 502 N
100 0 0 0 0 0 503 N
100 0 0 0 0 0 504 N
100 0 0 0 0 0 505 N
100 0 0 0 0 0 506 N
100 0 0 0 0 0 507 N
100 0 0 0 0 0 508 N
100 0 0 0 0 0 509 N
-1 -1 0 -1 -1 -1 510 N
0 100 0 0 0 0 511 N
0 100 0 0 0 0 512 N
0 100 0 0 0 0 513 N
0 100 0 0 0 0 514 N
0 100 0 0 0 0 515 N
0 100 0 0 0 0 516 N
0 100 0 0 0 0 517 X
0 100 0 0 0 0 518 N
0 100 0 0 0 0 519 N
0 100 0 0 0 0 520 N
0 100 0 0 0 0 521 N
100 0 0 0 0 0 522 N
100 0 0 0 0 0 523 N
100 0 0 0 0 0 524 N
0 100 0 0 0 0 525 N
100 0 0 0 0 0 526 N
100 0 0 0 0 0 527 N
100 0 0 0 0 0 528 N
100 0 0 0 0 0 529 N
-1 -1 0 -1 -1 -1 530 N
100 0 0 0 0 0 531 N
0 100 0 0 0 0 532 N
0 100 0 0 0 0 533 N
0 100 0 0 0 0 534 N
0 100 0 0 0 0 535 N
0 100 0 0 0 0 536 N
0 100 0 0 0 0 537 N
0 100 0 0 0 0 538 N
0 100 0 0 0 0 539 N
0 100 0 0 0 0 540 N
0 100 0 0 0 0 541 N
0 100 0 0 0 0 542 N
0 100 0 0 0 0 543 N
100 0 0 0 0 0 544 N
0 100 0 0 0 0 545 N
0 100 0 0 0 0 546 N
0 100 0 0 0 0 547 N
0 100 0 0 0 0 548 N
0 100 0 0 0 0 549 N
0 100 0 0 0 0 550 N
100 0 0 0 0 0 551 N
100 0 0 0 0 0 552 N
100 0 0 0 0 0 553 N
100 0 0 0 0 0 554 N
